,Restraunt,Address,Cuisine,Ratings
1,Bake and Juice,BTM,"Quick Bites,Fast Food,North Indian",3.7
2,Panchami Garden,Yelahanka,"Quick Bites,South Indian,North Indian,Chinese,Street Food,Desserts,Beverages",3.5
3,Dhaba Bytes,HSR,"Casual Dining,North Indian",4.0
4,Enerjuvate Studio & Cafe,Koramangala 4th Block,"Café,Cafe,Healthy Food,Pizza,Beverages",4.3
5,Sharief Bhai,Whitefield,"Mughlai,Seafood,Rolls,Biryani,Desserts",4.1
6,Samrith Grand,Yelahanka,"Quick Bites,North Indian,Chinese",3.6
7,Srinidhi Upachar,Electronic City,"Quick Bites,South Indian,Chinese,North Indian,Street Food",4.0
8,Liquid Bar - Hyatt Centric MG Road,Ulsoor,"Lounge,Finger Food,Continental,Chinese",4.2
9,Al-Bek,Electronic City,"Quick Bites,Mughlai,BBQ,North Indian,Chinese",3.8
10,Namaste,HSR,"Quick Bites,South Indian,Beverages",4.3
11,The Druid Garden,Sahakara Nagar,"Microbrewery,Casual Dining,Asian,Continental,Pizza,North Indian,Mediterranean",4.2
12,MISU,St. Marks Road,"Bar,Casual Dining,Asian,Japanese,Thai,Burmese,Korean,Indonesian,Vietnamese,Singaporean",4.6
13,Toit,Indiranagar,"Microbrewery,Italian,American,Modern Indian",4.5
14,Byg Brewski Brewing Company,Sarjapur Road,"Microbrewery,Continental,North Indian,Italian,South Indian,Finger Food,Pizza",4.9
15,TBC- Sky Lounge,Marathahalli,"Bar,Casual Dining,Continental,Asian,Italian,North Indian",4.9
16,Koramangala Social,Bommanahalli,"Bar,North Indian,Chinese,Biryani,American,Continental",4.4
17,Hoot,Sarjapur Road,"Microbrewery,Casual Dining,Continental,Italian,North Indian",4.6
18,Red Rhino,Whitefield,"Microbrewery,Casual Dining,North Indian,Continental,Asian,Burger,Desserts",4.5
19,The Whitefield Arms Pub & Microbrewery,Whitefield,"Microbrewery,Modern Indian,Continental,BBQ",4.4
20,Phulke Ghar Ke,Bellandur,"Quick Bites,North Indian",4.1
21,Puliyogare Point,Basavanagudi,"Quick Bites,South Indian",4.4
22,Moti Mahal Delux,HSR,"Casual Dining,North Indian,Mughlai,Biryani",4.1
23,Kareem's,Frazer Town,"Quick Bites,North Indian,Mughlai",3.8
24,Grill Biryanis,Jalahalli,"Quick Bites,Biryani,North Indian",4.0
25,Suraksha Biriyani Paradise,Jalahalli,"Quick Bites,Biryani,North Indian",4.1
26,Donne Biriyani Mane,Sahakara Nagar,"Quick Bites,Biryani",3.6
27,Roti Ghar,Basavanagudi,"Casual Dining,North Indian,Chinese,South Indian,Ice Cream",4.0
28,Malabar Food Court,HBR Layout,"Quick Bites,Kerala,South Indian,Chinese",4.0
29,Taco Bell,Nagawara,"Quick Bites,Fast Food,Mexican,Wraps",3.6
